DESCRIPCION,USER
TITULAR DEL JUZGADO,JMDACAPONETA
TITULAR DEL JUZGADO,JMDAHUACATLAN
TITULAR DEL JUZGADO,JMDAMATLAN
TITULAR DEL JUZGADO,JCBUCERIAS1
TITULAR DEL JUZGADO,JCBUCERIAS2
TITULAR DEL JUZGADO,JCBUCERIAS3
TITULAR DEL JUZGADO,JMDCOMPOSTELA
TITULAR DEL JUZGADO,JDHUAJICORI
TITULAR DEL JUZGADO,JMDIXTLAN DEL RIO
TITULAR DEL JUZGADO,JMDJALA
TITULAR DEL JUZGADO,JMDJESUSMARIA
TITULAR DEL JUZGADO,JMDLASVARAS
TITULAR DEL JUZGADO,JMDPUENTE
TITULAR DEL JUZGADO,JMDROSAMORADA
TITULAR DEL JUZGADO,JMDRUIZ
TITULAR DEL JUZGADO,JMDSAN BLAS
TITULAR DEL JUZGADO,JMDSAMAO
TITULAR DEL JUZGADO,JMSANTIAGO1
TITULAR DEL JUZGADO,JMSANTIAGO2
TITULAR DEL JUZGADO,JMDSANPEDRO
TITULAR DEL JUZGADO,JMDTECUALA
TITULAR DEL JUZGADO,JCTEPIC1
TITULAR DEL JUZGADO,JCTEPIC2
TITULAR DEL JUZGADO,JCTEPIC3
TITULAR DEL JUZGADO,JFAMILIAR1
TITULAR DEL JUZGADO,JFAMILIAR2
TITULAR DEL JUZGADO,JFAMILIAR3
TITULAR DEL JUZGADO,JFAMILIAR4
TITULAR DEL JUZGADO,JFAMILIAR5
TITULAR DEL JUZGADO,JMERCANTIL1
TITULAR DEL JUZGADO,JMERCANTIL2
TITULAR DEL JUZGADO,JMERCANTIL3
TITULAR DEL JUZGADO,JPENAL1
TITULAR DEL JUZGADO,JMDTUXPAN
TITULAR DEL JUZGADO,JMDVILLAHIDALGO
TITULAR DEL JUZGADO,JMDOM1
TITULAR DEL JUZGADO,JMDOM2
ADMINISTRADOR DEL CENTRO REGIONAL,CRDJPOBAHIA
ADMINISTRADOR DEL CENTRO REGIONAL,CRDJPOIXTLAN
ADMINISTRADOR DEL CENTRO REGIONAL,CRDJPOSANPEDRO
ADMINISTRADOR DEL CENTRO REGIONAL,CRDJPOSANTIAGO
ADMINISTRADOR DEL CENTRO REGIONAL,CRDJPOTECUALA
ADMINISTRADOR DEL CENTRO REGIONAL,CRDJPOBAHIA
JUEZ TITULAR DEL CENTRO DE JUSTICIA,CJUSTICIANNA
TITULAR DEL JUZGADO,JPEJECUCIONTRAD
TITULAR DEL JUZGADO,JPEJECUCIONACU
ADMINISTRADOR DEL TRIBUNAL LABORAL,TJLRTEPIC
ADMINISTRADOR DEL TRIBUNAL LABORAL,TJLRBAHIA
UNIDAD DE AMPAROS,SGATSJAMPAROS
COORDINACIÓN DE EJECUTORES,SGATSJEJECUTORES
SECRETARIA GENERAL DE ACUERDOS DEL TRIBUNAL SUPERIOR DE JUSTICIA,SGATSJGENERAL
SECRETARIO EJECUTIVO DEL CONSEJO DE LA JUDICATURA,SECONSEJO
DIRECTOR JURÍDICO,DJURIDICO
TITULAR DE LA UNIDAD DE TRANSPARENCIA,TTRANSPARENCIA
JEFE DEL DEPARTAMENTO DE COMPUEDICIÓN Y LOGÍSTICA,DCOMPUEDICION
JEFE DE ÁREA DE PRODUCCIÓN AUDIOVISUAL,DAUDIOVISUAL
JEFE DE OFICINA DE COMUNICACIÓN SOCIAL,UCOMSOCIAL
SECRETARIO DE VINCULACIÓN Y CONTROL JURISDICCIONAL,SVYCJURIS
DIRECTORA DEL CENTRO DE CONVIVENCIA FAMILIAR,CCFAMILIAR
DIRECTORA DEL CENTRO ,CEJUSTICIAA
DIRECTOR DE ESCUELA JUDICIAL,DESCUELAJUDICIAL
CONTRALOR INTERNO,CONTRAINTERNA
SECRETARIO DE ADMINISTRACION ,SADMINISTRACION
DIRECTOR GENERAL DE RECURSOS HUMANOS Y NOMINA,DGRH
JEFE DEL DEPARTAMENTO,DRMATERIALES
JEFE DEL DEPARTAMENTO DE CONTROL PRESUPUESTAL,DCPRESUPUESTAL
JEFA DEL DEPARTAMENTO DE NOMINAS,DNOMINAS
JEFE DEL DEPARTAMENTO DE RECURSOS FINANCIEROS,DRFINANCIEROS
JEFE DEL DEPARTAMENTO FONDO DEL PODER JUDICIAL,DFPODERJUDICIAL
JEFE DE LA DIRECCION DE TECNOLOGIAS DE LA INFORMACION ,DTECINFORMACION
JEFE DE DEPARTAMENTO DE PLANEACION INSTITUCIONAL,DPLANEACION
JEFE DEL DEPARTAMENTO DE CONTROL PATRIMONIAL SEGURIDAD E HIGIENE,DCPSEHIGIENE
SECRETARIO DE LA CARRERA JUDICIAL,SCJUDICIAL
DIR. DE LA BIBLIOTECA,BIBLIOTECA
SUB DIRECTORA DE ESCUELA JUDICIAL,CJUDICIAL
SECRETARIO DE LA CARRERA JUDICIAL Y DIRECTOR DE ESCUELA JUDICIAL,CYEJUDICIAL
JEFA DEL DEPARTAMENTO DE INVESTIGACION JURIDICA,DIJURIDICA
RESPONSABLE DE LA SALA,SPENAL
RESPONSABLE DE LA SALA,SCIVIL
RESPONSABLE DE LA SALA,SJMIXTA
RESPONSABLE DE LA SALA,SUNITARIA1
RESPONSABLE DE LA SALA,SUNITARIA2
RESPONSABLE DE LA SALA,SUNITARIA3
